IdSource,IdTarget,Weight
frod,sams,171
frod,ganda,129
arag,frod,105
bilb,frod,96
frod,pipp,80
pipp,sams,72
frod,ring,71
frod,merr,64
frod,shir,64
merr,pipp,57
arag,sams,50
bilb,ganda,44
ganda,ring,43
merr,sams,43
boro,frod,42
arag,ganda,41
arag,boro,40
ganda,sams,31
arag,merr,30
elve,frod,29
frod,rive,29
bilb,shir,28
elro,frod,27
elro,ganda,27
elve,sams,27
ganda,mori,27
arag,bree,26
arag,comp,26
bage,frod,26
ganda,shir,26
ring,saur,24
arag,elro,22
arag,pipp,22
comp,frod,22
gimli,lego,22
bage,bilb,21
bilb,ring,21
bilb,sams,21
frod,lego,21
frod,tomb,21
arag,lego,20
frod,gimli,20
ganda,pipp,20
sams,shir,20
boro,comp,19
boro,ring,19
bree,shir,19
ganda,gimli,19
bree,frod,18
elro,ring,18
frod,nazg,18
ring,shir,17
bill,sams,16
boro,tiri,16
comp,ganda,16
comp,lego,16
ganda,rive,16
gber,tomb,16
arag,rive,15
bilb,goll,15
boro,sams,15
elve,ganda,15
elve,lego,15
arag,ring,14
boro,ganda,14
boro,lego,14
mord,saur,14
arag,gimli,13
arag,shir,13
boro,gond,13
elve,saur,13
frod,gild,13
frod,hton,13
isil,ring,13
bilb,hton,12
boro,pipp,12
dwar,elve,12
elro,elve,12
elve,gimli,12
frod,glorf,12
frod,goll,12
ganda,merr,12
gimli,sams,12
hton,shir,12
pipp,shir,12
bilb,elro,11
boro,gimli,11
comp,sams,11
elro,rive,11
elve,shir,11
lego,sams,11
merr,shir,11
ring,sams,11
arag,bilb,10
arag,elen,10
arag,elve,10
arag,glorf,10
arag,mori,10
arag,tiri,10
bage,ganda,10
bage,shir,10
bilb,merr,10
boro,merr,10
comp,gimli,10
comp,pipp,10
duri,gimli,10
elen,isil,10
elve,lori,10
ganda,lego,10
gimli,mori,10
ring,saru,10
arag,arat,9
arag,mord,9
bage,sams,9
bilb,pipp,9
dwar,ganda,9
dwar,gimli,9
elro,glorf,9
elro,saur,9
elve,rive,9
frod,gloi,9
frod,hald,9
frod,lori,9
frod,mori,9
ganda,goll,9
goll,ring,9
lego,merr,9
lego,pipp,9
mord,ring,9
rive,sams,9
arag,goll,8
bali,mori,8
bill,frod,8
cele,gala,8
elve,mord,8
ganda,mord,8
gimli,gloi,8
hald,lego,8
hobb,shir,8
hton,sams,8
merr,ring,8
ring,rive,8
ring,tiri,8
ring,tomb,8
rive,shir,8
arag,isil,7
boro,elro,7
boro,mord,7
bree,sams,7
comp,elve,7
comp,hald,7
comp,mori,7
comp,ring,7
elen,ring,7
elro,sams,7
frod,gala,7
frod,loth,7
frod,mord,7
frod,saur,7
frod,tiri,7
ganda,saur,7
gimli,merr,7
gimli,pipp,7
gond,ring,7
lego,loth,7
mord,saru,7
pipp,ring,7
saru,saur,7
arag,gond,6
arag,saur,6
boro,mori,6
bree,merr,6
cele,comp,6
comp,merr,6
elro,gloi,6
elro,pipp,6
elro,shir,6
elve,gloi,6
elve,hald,6
elve,loth,6
frod,orcs,6
gala,lori,6
ganda,hton,6
ganda,nazg,6
ganda,saru,6
isen,saru,6
isil,saur,6
merr,rive,6
mord,tiri,6
mori,saur,6
rive,saur,6
roha,saru,6
arag,lori,5
arag,orcs,5
bage,hton,5
bage,pipp,5
bali,ganda,5
bilb,elve,5
bilb,rive,5
boro,isil,5
boro,roha,5
boro,saru,5
duri,ganda,5
duri,mori,5
dwar,gloi,5
dwar,mori,5
elen,gond,5
elen,saur,5
elro,mord,5
elve,gild,5
frod,gber,5
frod,saru,5
ganda,gild,5
ganda,orcs,5
gild,shir,5
gloi,lego,5
glorf,ring,5
gond,isil,5
lego,lori,5
lori,sams,5
merr,tomb,5
mord,orcs,5
mori,orcs,5
mori,ring,5
nazg,pipp,5
orth,saru,5
saur,shir,5
andu,frod,4
arag,arwe,4
arag,bali,4
arag,bill,4
arag,loth,4
bali,frod,4
bali,gimli,4
bilb,gloi,4
bill,bree,4
boro,elen,4
bree,hobb,4
bree,pipp,4
bree,rive,4
bree,tomb,4
cele,elve,4
cele,lori,4
comp,elro,4
comp,gala,4
comp,loth,4
comp,tiri,4
dtow,mord,4
dtow,saur,4
elen,frod,4
elen,ganda,4
elro,saru,4
elve,gala,4
elve,gond,4
elve,hobb,4
elve,mori,4
elve,nume,4
elve,pipp,4
elve,ring,4
frod,hobb,4
gala,ring,4
ganda,gloi,4
ganda,glorf,4
ganda,hobb,4
gild,pipp,4
gimli,hald,4
gloi,mori,4
goll,orcs,4
goll,shir,4
hald,lori,4
isen,orth,4
isen,roha,4
isen,saur,4
isil,mord,4
isil,tiri,4
mord,morg,4
mord,shir,4
mori,sams,4
nazg,sams,4
nazg,shir,4
nume,saur,4
roha,treeb,4
shir,tomb,4
andu,arag,3
andu,elve,3
andu,gond,3
andu,lori,3
andu,mord,3
andu,orcs,3
andu,roha,3
andu,saur,3
arag,cele,3
arag,gala,3
arag,hald,3
arag,nazg,3
arag,roha,3
arat,elen,3
